f0,adult,group,gender,speaker
238,child,b,male,1
286,child,b,male,2
214,child,b,male,3
239,child,b,male,4
200,child,b,male,5
262,child,b,male,6
216,child,b,male,7
220,child,b,male,8
205,child,b,male,9
209,child,b,male,10
252,child,b,male,11
216,child,b,male,12
198,child,b,male,13
272,child,b,male,14
187,child,b,male,15
246,child,b,male,16
249,child,b,male,17
209,child,b,male,18
205,child,b,male,19
229,child,b,male,20
267,child,b,male,21
206,child,b,male,22
223,child,b,male,23
220,child,b,male,24
211,child,b,male,25
227,child,b,male,26
212,child,b,male,27
174,adult,m,male,47
102,adult,m,male,48
99,adult,m,male,49
124,adult,m,male,50
115,adult,m,male,51
96,adult,m,male,52
122,adult,m,male,53
120,adult,m,male,54
153,adult,m,male,55
136,adult,m,male,56
100,adult,m,male,57
106,adult,m,male,58
138,adult,m,male,59
135,adult,m,male,60
133,adult,m,male,61
149,adult,m,male,62
140,adult,m,male,63
108,adult,m,male,64
119,adult,m,male,65
112,adult,m,male,66
120,adult,m,male,67
115,adult,m,male,68
120,adult,m,male,69
105,adult,m,male,70
131,adult,m,male,71
114,adult,m,male,72
96,adult,m,male,73
143,adult,m,male,74
149,adult,m,male,75
136,adult,m,male,76
129,adult,m,male,77
110,adult,m,male,78
121,adult,m,male,79
130,adult,m,male,80
131,adult,m,male,81
153,adult,m,male,82
140,adult,m,male,83
139,adult,m,male,84
128,adult,m,male,85
98,adult,m,male,86
187,adult,m,male,87
129,adult,m,male,88
119,adult,m,male,89
123,adult,m,male,90
116,adult,m,male,91
241,child,b,male,1
276,child,b,male,2
214,child,b,male,3
250,child,b,male,4
227,child,b,male,5
308,child,b,male,6
202,child,b,male,7
230,child,b,male,8
209,child,b,male,9
203,child,b,male,10
258,child,b,male,11
211,child,b,male,12
201,child,b,male,13
287,child,b,male,14
187,child,b,male,15
245,child,b,male,16
254,child,b,male,17
218,child,b,male,18
226,child,b,male,19
263,child,b,male,20
277,child,b,male,21
228,child,b,male,22
220,child,b,male,23
210,child,b,male,24
223,child,b,male,25
221,child,b,male,26
227,child,b,male,27
159,adult,m,male,47
101,adult,m,male,48
97,adult,m,male,49
127,adult,m,male,50
112,adult,m,male,51
98,adult,m,male,52
115,adult,m,male,53
122,adult,m,male,54
152,adult,m,male,55
148,adult,m,male,56
104,adult,m,male,57
100,adult,m,male,58
145,adult,m,male,59
132,adult,m,male,60
